site_name,state,state_code,country,lat,long,timezone
Overland Park,Kansas,KS,US,38.9822,-94.6708,-21600
Oxnard,California,CA,US,34.1975,-119.177,-28800
Palmdale,California,CA,US,34.5794,-118.1165,-28800
Pasadena,Texas,TX,US,29.6911,-95.2091,-21600
Paterson,New Jersey,NJ,US,40.9168,-74.1718,-18000
Pembroke Pines,Florida,FL,US,26.0032,-80.2239,-18000
Peoria,Illinois,IL,US,40.7667,-89.7668,-21600
Philadelphia,Pennsylvania,PA,US,39.9523,-75.1638,-18000
Phoenix,Arizona,AZ,US,33.4484,-112.074,-25200
Pittsburgh,Pennsylvania,PA,US,40.4406,-79.9959,-18000
Plano,Texas,TX,US,33.0198,-96.6989,-21600
Pomona,California,CA,US,34.0553,-117.7523,-28800
Pompano Beach,Florida,FL,US,26.2379,-80.1248,-18000
Portland,Oregon,OR,US,45.5234,-122.6762,-28800
Port St. Lucie,Florida,FL,US,27.2939,-80.3503,-18000
Providence,Rhode Island,RI,US,41.824,-71.4128,-18000
Raleigh,North Carolina,NC,US,35.7721,-78.6386,-18000
Rancho Cucamonga,California,CA,US,34.1064,-117.5931,-28800
Reno,Nevada,NV,US,39.5296,-119.8138,-28800
Richmond,Virginia,VA,US,37.5538,-77.4603,-18000
Riverside,California,CA,US,33.7333,-116.0508,-28800
Rochester,New York,NY,US,43.1548,-77.6156,-18000
Rockford,Illinois,IL,US,42.2711,-89.094,-21600
Sacramento,California,CA,US,38.4666,-121.3177,-28800
Salem,Oregon,OR,US,44.9231,-123.0244,-28800
Salinas,California,CA,US,36.6777,-121.6555,-28800
Salt Lake City,Utah,UT,US,40.7608,-111.8911,-25200
San Antonio,Texas,TX,US,29.4241,-98.4936,-21600
San Bernardino,California,CA,US,34.6667,-116.1675,-28800
San Diego,California,CA,US,32.7153,-117.1573,-28800
San Francisco,California,CA,US,37.7749,-122.4194,-28800
San Jose,California,CA,US,37.3394,-121.895,-28800
Santa Ana,California,CA,US,33.7456,-117.8678,-28800
Santa Clarita,California,CA,US,34.3917,-118.5426,-28800
Santa Rosa,California,CA,US,38.4486,-122.7047,-28800
Savannah,Georgia,GA,US,32.0835,-81.0998,-18000
Scottsdale,Arizona,AZ,US,33.5092,-111.899,-25200
Seattle,Washington,WA,US,47.6062,-122.3321,-28800
Shreveport,Louisiana,LA,US,32.5251,-93.7502,-21600
Sioux Falls,South Dakota,SD,US,43.55,-96.7003,-21600
Spokane,Washington,WA,US,47.6166,-117.3677,-28800
Springfield,Missouri,MO,US,37.2153,-93.2982,-21600
St. Louis,Missouri,MO,US,38.6273,-90.1979,-21600
Stockton,California,CA,US,37.9577,-121.2908,-28800
St. Petersburg,Florida,FL,US,27.7731,-82.64,-18000
Sunnyvale,California,CA,US,37.3688,-122.0363,-28800
Tacoma,Washington,WA,US,47.2529,-122.4443,-28800
Tallahassee,Florida,FL,US,30.4383,-84.2807,-18000
Tampa,Florida,FL,US,27.9475,-82.4584,-18000
Tempe,Arizona,AZ,US,33.4148,-111.9093,-25200
Toledo,Ohio,OH,US,39.8333,-4,3600
Torrance,California,CA,US,33.8359,-118.3406,-28800
Tucson,Arizona,AZ,US,32.2217,-110.9265,-25200
Tulsa,Oklahoma,OK,US,36.1001,-95.9003,-21600
Vancouver,Washington,WA,US,45.6311,-122.6717,-28800
Virginia Beach,Virginia,VA,US,36.8529,-75.978,-18000
Washington,Washington,WA,US,47.5001,-120.5015,-28800
Wichita,Kansas,KS,US,37.6922,-97.3375,-21600
Winston-Salem,North Carolina,NC,US,36.0999,-80.2442,-18000
Worcester,Massachusetts,MA,US,42.3334,-71.8328,-18000
Yonkers,New York,NY,US,40.9312,-73.8988,-18000
